Factor ID,Factor Name,Original Research Source,Research Evidence Level,Domain,Definition,Potential Decision Layer,Required Data,Data Availability,Current Repository Representation,Current Status,Notes
F081,Complaint Issue Severity Classification,MCGM Grievance Redressal Manual,A,V. COMPLAINTS / W. EMERGENCY,"Issue category: NO_WATER (Tier 1), CONTAMINATION (Tier 1), LOW_PRESSURE (Tier 2)",COMPLAINT_INTELLIGENCE,Categorical complaint type,AVAILABLE_OFFICIAL,complaint_engine/severity.py,IMPLEMENTED,Determines emergency bypass trigger
F082,Grievance Lodging Channel (1916 vs App vs WhatsApp),MCGM Citizen Services Registry,A,V. COMPLAINTS,"Medium of lodging: IVR Helpline, Citizen Mobile App, WhatsApp Chatbot",SCENARIO_CONTEXT,Submission channel metadata,AVAILABLE_OFFICIAL,backend/server.js,CONTEXT_ONLY,Audited for digital divide access patterns
F083,Citizen Call Voice Sentiment & Anger Score,Speech-to-Text NLP Helpline Prototypes,C,V. COMPLAINTS,Acoustic or NLP sentiment analysis of citizen phone call,COMPLAINT_INTELLIGENCE,Voice recordings,UNAVAILABLE_LOCAL,docs/decision_architecture.md,REJECTED_WITH_REASON,REJECTED: Unsafe proxy / Subject to severe dialect and linguistic bias across multilingual Indian callers
F084,Social Media Viral Water Crisis Posts,Twitter/X Scraping Tools,C,V. COMPLAINTS,Hashtag counts regarding Mumbai water shortages,COMPLAINT_INTELLIGENCE,Social media API stream,AVAILABLE_COMMERCIAL,docs/decision_architecture.md,REJECTED_WITH_REASON,REJECTED: Bot manipulation risk / Affluent neighborhood tweet volume unrepresentative of offline slum distress
F085,Field Junior Engineer Inspection Verification Status,BMC Ward CFC Inspection Logs,A,X. GOVERNANCE,Physical verification by ward technician validating reported pipe failure,COMPLAINT_INTELLIGENCE,Field technician sign-off,AVAILABLE_OFFICIAL,docs/factor_catalogue.md,DOCUMENTED_ONLY,Closes complaint loop
F086,Historical Ward SLA Breach Cumulative Count,MCGM Central Grievance Review Reports,B,U. HISTORICAL SERVICE,Count of times ward management failed to resolve outages within 24 hours,SCENARIO_CONTEXT,Historical SLA audits,AVAILABLE_OFFICIAL,docs/factor_catalogue.md,CONTEXT_ONLY,Administrative accountability indicator
F087,Raw Unfiltered Citizen Call Count,1916 Call Logs,A,V. COMPLAINTS,Gross incoming call count without spam filtering,COMPLAINT_INTELLIGENCE,Telephony switch log,AVAILABLE_OFFICIAL,Merged into F077,DUPLICATE_OR_MERGED,Merged into F077 (Spatially Corroborated Volume); raw count rejected due to bot spam risk
F088,Government Hospital Daily Lifeline Quota,Directorate of Health Services Maharashtra / BMC Public Health,A,S. CRITICAL FACILITIES,"Non-negotiable daily volume required for major municipal hospitals (KEM, Sion, Nair)",ALLOCATION,Hospital bed count * 450 LPCD,AVAILABLE_OFFICIAL,"water_engine/critical_facilities.py, DEM_CRIT_FACIL",IMPLEMENTED,Tier 1 absolute priority constraint in allocation optimizer
F089,Hospital On-Site Storage Buffer Run Hours,Hospital Engineering Maintenance Logs,A,S. CRITICAL FACILITIES,Hours of water remaining in hospital overhead/ground storage tanks,ALLOCATION,Hospital tank gauge telemetry,AVAILABLE_OFFICIAL,water_engine/critical_facilities.py,IMPLEMENTED,Storage < 6h triggers immediate pre-emptive emergency tanker dispatch
F090,Dialysis Centre Emergency Water Requirement,Indian Society of Nephrology Hemodialysis Water Standards,A,S. CRITICAL FACILITIES,High-purity RO water required for kidney dialysis machines (500L per patient),ALLOCATION,Active dialysis station count,AVAILABLE_OFFICIAL,water_engine/critical_facilities.py,IMPLEMENTED,Pre-emptive emergency dispatch category
F091,Mumbai Fire Brigade Emergency Standby Buffer,Mumbai Fire Brigade Disaster Action Plan,A,W. EMERGENCY / S. CRITICAL FACILITIES,Mandatory unallocated water cushion reserved at depots for major conflagrations,ALLOCATION,Policy reserve constant,AVAILABLE_OFFICIAL,"water_engine/allocation_optimizer.py, SUP_EMERG_RES",IMPLEMENTED,Enforces 10% non-allocated strategic reserve buffer
F092,Waterborne Epidemic Diarrhea / Cholera Cluster,MCGM Epidemic Cell Ward Disease Surveillance,A,R. HEALTH VULNERABILITY / W. EMERGENCY,Localized surge in hospital acute gastroenteritis admissions in a ward,SCENARIO_CONTEXT,Integrated Disease Surveillance Programme (IDSP) logs,AVAILABLE_OFFICIAL,evaluation/stress_tests.py (Scenario 10),SCENARIO_ONLY,Simulated in stress testing suite
F093,Mass Contamination Sewage Cross-Flow Alert,MCGM Water Quality Dadar Laboratory Alert,A,W. EMERGENCY / G. WATER QUALITY,Presence of sewage back-siphonage into drinking main,NEED/EQUITY,Laboratory chlorine absence & fecal coliform flag,AVAILABLE_OFFICIAL,"water_engine/equity_engine.py, CMP_CONTAM_FLAG",IMPLEMENTED,Immediately locks out pipe and prioritizes emergency tanker relief
F094,Public Transit & Shelter Emergency Water Demand,BMC Disaster Cell Relief Camp Protocols,B,S. CRITICAL FACILITIES,Hydration requirements for temporary flood relief camps and transit stations,SCENARIO_CONTEXT,Camp population,AVAILABLE_OFFICIAL,evaluation/stress_tests.py,SCENARIO_ONLY,Scenario parameter during extreme weather alerts
F095,Municipal School Student Drinking Quota,BMC Education Department Norms,A,S. CRITICAL FACILITIES,Drinking and midday meal water quota for BMC municipal schools (15 LPCD),DEMAND_FORECAST,School enrollment count,AVAILABLE_OFFICIAL,docs/model_cards/02_demand_forecast.md,DOCUMENTED_ONLY,Institutional demand category
F096,Critical Facility Priority Binary Flag,WaterFlow Policy,A,S. CRITICAL FACILITIES,Flag marking whether location is a life-safety critical point,ALLOCATION,Location category,AVAILABLE_OFFICIAL,Merged into F088/F089,DUPLICATE_OR_MERGED,Merged with critical facility lifeline model F088/F089
F097,Active Roadworthy Municipal Tanker Count,BMC Transport & SWM Fleet Registry,A,Y. TANKERS,Number of municipal and contracted water tankers currently in service,RESOURCE_OPTIMIZATION,Daily fleet roster,AVAILABLE_OFFICIAL,"water_engine/routing_optimizer.py, SUP_TANK_FLEET",IMPLEMENTED,Hard vehicle count constraint in fleet optimization
F098,Tanker Volumetric Modular Capacity (10kL vs 3kL),BMC Motor Transport Specification,A,Y. TANKERS,"Payload capacity: 10,000L heavy multi-axle vs 3,000L mini-tanker chassis",ROUTING,Vehicle specification,AVAILABLE_OFFICIAL,"water_engine/routing_optimizer.py, capacity_liters",IMPLEMENTED,Enforces modular packing and load constraints in CVRPTW
F099,Road Network Shortest Path Distance,OpenStreetMap (OSM) Mumbai Road Graph,A,Z. TRANSPORT,True road-network distance from designated depot to delivery location (km),ROUTING,OSM road network graph,AVAILABLE_OFFICIAL,"water_engine/routing_optimizer.py, INF_ROAD_DIST",IMPLEMENTED,Optimized solely in Stage 5 routing; strictly decoupled from need score
F100,Time-of-Day Congestion Traffic Speed,Mumbai Traffic Police Speed Profiles / Google Distance Matrix,B,Z. TRANSPORT,Average arterial travel speeds (14 km/h peak vs 24 km/h off-peak),RESPONSE_TIME,Time of day hourly speed multiplier,AVAILABLE_OFFICIAL,evaluation/response_time_validation.py,IMPLEMENTED,Key driver of dynamic ETA prediction
F101,Depot Gantry Loading Queue Delay,"BMC Filling Depot Operations Records (Mahim, Worli, Ghatkopar)",C,Z. TRANSPORT / F. STORAGE,Estimated queuing wait time at gantry filling bays before loading begins,RESPONSE_TIME,Depot gantry queue minutes,SIMULATED_BENCHMARK,"evaluation/response_time_validation.py, INF_DEPOT_QUEUE",IMPLEMENTED,Dynamic ETA queue parameter (18 min peak vs 6 min off-peak)
F102,Depot Gantry Loading Pumping Duration,"BMC Filling Depot Pump Technical Spec (1,000 LPM pump)",A,Y. TANKERS / F. STORAGE,"Time required to physically pump 10,000L into tanker barrel (~12 minutes)",RESPONSE_TIME,Filling flow rate (LPM),AVAILABLE_OFFICIAL,evaluation/response_time_validation.py,IMPLEMENTED,Fixed operational service turnaround time
F103,Drop Site Hose Unloading & Handover Duration,BMC Tanker Relief Standard Operating Procedure,B,Y. TANKERS,"Time to connect delivery hoses, gravity-drain tank, and obtain citizen OTP signoff",RESPONSE_TIME,Handover minutes (15 min standard),AVAILABLE_OFFICIAL,"water_engine/routing_optimizer.py, unloading_time_minutes",IMPLEMENTED,Delivery stop duration in route planning
F104,Tanker Driver Shift Availability & Mandatory Rest,"Motor Transport Workers Act, 1961",A,Y. TANKERS,Statutory limit on driver continuous operating hours (8-hour shift),ROUTING,Driver biometric duty roster,AVAILABLE_OFFICIAL,docs/model_cards/07_routing_optimizer.md,DOCUMENTED_ONLY,Shift turnover boundary parameter
F105,GPS Transponder Real-Time Coordinates,MCGM VTS (Vehicle Tracking System),A,Y. TANKERS,Real-time latitude/longitude coordinates emitted by vehicle IoT transponder,ROUTING,GPS NMEA stream,AVAILABLE_OFFICIAL,water_engine/routing_optimizer.py,PARTIALLY_IMPLEMENTED,Supported via current_lat/lon in FleetTanker; live continuous streaming mocked
F106,Urban Road Construction / Metro Work Closures,Mumbai Traffic Police Road Diversion Bulletins,A,Z. TRANSPORT,Temporary barricades and lane closures increasing transit circuity,SCENARIO_CONTEXT,Traffic police diversion notices,AVAILABLE_OFFICIAL,evaluation/stress_tests.py (Scenario 08),SCENARIO_ONLY,Tested in Scenario 08 (+60% route penalty)
F107,Euclidean Straight-Line Distance,Cartesian Geometry,C,Z. TRANSPORT,Haversine straight-line distance ignoring road network,ROUTING,Lat/lon pair,AVAILABLE_DERIVED,evaluation/response_time_validation.py,DUPLICATE_OR_MERGED,Replaced by road network shortest path F099; maintained only as baseline
F108,Diesel Fuel Consumption per Tanker Kilometer,BMC Transport Cost Ledgers,B,Y. TANKERS / AB. ECONOMICS,Liters of diesel consumed per vehicle kilometer (approx 3.2 km/L),SCENARIO_CONTEXT,Fuel log receipts,AVAILABLE_OFFICIAL,docs/model_cards/07_routing_optimizer.md,CONTEXT_ONLY,Cost reporting metric
F109,Total Dissolved Solids (TDS) Potability Benchmark,Bureau of Indian Standards IS 10500:2012,A,G. WATER QUALITY,"TDS in mg/L: < 500 acceptable, < 2000 permissible in alternate absence",WATER_QUALITY,TDS conductivity sensor (mg/L),AVAILABLE_OFFICIAL,"water_engine/water_reuse.py, GOV_WQL_TDS",IMPLEMENTED,Directs water to potable vs non-potable tertiary reuse
F110,Free Residual Chlorine at Delivery Point,BIS IS 10500:2012 / CPHEEO Standards,A,G. WATER QUALITY,Active disinfectant chlorine: Min 0.2 mg/L at consumer tap,WATER_QUALITY,Colorimetric DPD test reading,AVAILABLE_OFFICIAL,"water_engine/water_reuse.py, GOV_CHLOR_RESID",IMPLEMENTED,Safety certification gate before tanker unloading
F111,Point of Delivery Water Turbidity (NTU),BIS IS 10500:2012,A,G. WATER QUALITY,"Clarity of delivered water: < 1 NTU acceptable, < 5 NTU permissible",WATER_QUALITY,Nephelometric turbidity reading,AVAILABLE_OFFICIAL,water_engine/water_reuse.py,IMPLEMENTED,Turbidity > 5 NTU locks out delivery to domestic consumers
F112,Pathogen Bacterial Coliform Count,BIS IS 10500:2012 / WHO Guidelines for Drinking-water Quality,A,G. WATER QUALITY,E. coli or thermotolerant coliforms must be ZERO per 100 mL sample,WATER_QUALITY,Bacteriological culture report,AVAILABLE_OFFICIAL,water_engine/water_reuse.py,IMPLEMENTED,Non-negotiable statutory drinking standard
F113,Tertiary Recycled Sewage Treatment Plant (STP) Volume,MCGM Mumbai Sewage Disposal Project (MSDP) Stage II,A,AC. WATER REUSE,Available tertiary treated recycled effluent for non-potable reuse,WATER_QUALITY,STP tertiary output volume (MLD),AVAILABLE_OFFICIAL,water_engine/water_reuse.py,IMPLEMENTED,Substitutes non-potable commercial and construction demand
F114,Coastal Groundwater Borewell Salinity Level,Central Ground Water Board (CGWB) Maharashtra Report,A,E. GROUNDWATER,Salinity and chloride levels in municipal ring wells and borewells,WATER_QUALITY,CGWB coastal monitoring well salinity,AVAILABLE_OFFICIAL,docs/model_cards/08_water_quality_triage.md,DOCUMENTED_ONLY,Prohibits drinking extraction from coastal borewells
F115,Mandatory Ecological River Discharge Flows,National Green Tribunal (NGT) / CWC Directives,A,AE. ENVIRONMENTAL CONSTRAINTS,Minimum environmental discharge required down river downstream of Bhatsa/Vaitarna,ALLOCATION,Environmental release schedule,AVAILABLE_OFFICIAL,data/factor_selection.csv,IMPLEMENTED,Non-negotiable physical deduction in supply balance
F116,Industrial Heavy Metal Effluent Contamination,MPCB Industrial Pollution Monitoring,A,G. WATER QUALITY,"Presence of toxic metals (Lead, Cadmium, Hexavalent Chromium)",WATER_QUALITY,Spectroscopy laboratory assays,AVAILABLE_OFFICIAL,docs/research_evidence.md,DOCUMENTED_ONLY,Statutory potability filter
F117,Water Acidity / Alkalinity (pH Scale),BIS IS 10500:2012 Specification,A,G. WATER QUALITY,Permissible drinking pH range: 6.5 to 8.5,WATER_QUALITY,Electrochemical pH probe,AVAILABLE_OFFICIAL,docs/research_evidence.md,DOCUMENTED_ONLY,Quality assurance standard
F118,Citizen Charter SLA Target Resolution Hours,MCGM Citizen Charter Guidelines,A,X. GOVERNANCE,Statutory municipal target to inspect and resolve water grievances within 24h,NEED/EQUITY,Published citizen charter,AVAILABLE_OFFICIAL,docs/research_evidence.md,DOCUMENTED_ONLY,Defines SLA breach threshold
F119,Bombay High Court Article 21 Water Non-Discrimination Mandate,"High Court of Bombay, PIL No. 10 of 2012 Ruling (Dec 15, 2014)",A,X. GOVERNANCE / FAIRNESS_AUDIT,Judicial ruling ordering municipal water supply to all slums irrespective of land status,FAIRNESS_AUDIT,High Court legal decree,AVAILABLE_OFFICIAL,"docs/research_evidence.md, evaluation/disparity_testing.py",IMPLEMENTED,Legal obligation enforcing zero land-tenure discrimination
F120,Inter-District Dam Water Sharing Agreement,Maharashtra Water Resources Regulatory Authority (MWRRA),A,X. GOVERNANCE / AD. COMPETITION,Treaty allocating Bhatsa/Surya water between Mumbai City and rural Thane/Palghar,ALLOCATION,MWRRA water entitlement orders,AVAILABLE_OFFICIAL,docs/research_evidence.md,DOCUMENTED_ONLY,Macro boundary constraint
F121,Official Municipal Drought Declaration Tier,Revenue & Forest Dept Maharashtra Drought Manual,A,W. EMERGENCY / X. GOVERNANCE,Formal government notification declaring Moderate or Severe Drought,SCENARIO_CONTEXT,Government Gazette notification,AVAILABLE_OFFICIAL,evaluation/stress_tests.py (Scenario 03),SCENARIO_ONLY,Triggers statutory water rationing and tariff surcharges in stress testing
F122,Ward Water Tariff Billing Collection Rate,MCGM Assessment & Collection Department,A,AB. ECONOMICS,Percentage of municipal water tax bills paid by property owners in the ward,FAIRNESS_AUDIT,Tax ledger records,AVAILABLE_OFFICIAL,docs/security_audit.md,REJECTED_WITH_REASON,REJECTED: Unsafe economic proxy / Basic human right to drinking water under Article 21 cannot be denied based on billing arrears
F123,Citizen Voter Turnout & Political Ward Alignment,State Election Commission Maharashtra,A,X. GOVERNANCE,Electoral participation or political party representation of local ward corporator,FAIRNESS_AUDIT,Election commission statistics,AVAILABLE_OFFICIAL,docs/decision_architecture.md,REJECTED_WITH_REASON,REJECTED: Prohibited political proxy / Strictly barred to guarantee impartial municipal decision-making
